block,label,method,round,f1_mean,f1_std,f1_sem,ci_low,ci_high,n
heterogeneous,fast25,DFedSAM,23,0.6893963000741747,0.030955571536732774,0.00978901123283542,0.6702098380578173,0.7085827620905322,10
heterogeneous,fast25,DFedSAM,24,0.7083437518901328,0.028391462843417693,0.008978168868924039,0.6907465409070417,0.7259409628732238,10
heterogeneous,fast25,DFedSAM,25,0.7237232000352745,0.02311477644521908,0.007309534117250256,0.7093965131654639,0.738049886905085,10
heterogeneous,fast25,DFedSAM,26,0.7311734024518535,0.013362141958899872,0.004225480300862761,0.7228914610621625,0.7394553438415444,10
heterogeneous,fast25,DFedSAM,27,0.7493896074918482,0.025354281277397858,0.008017727727314064,0.7336748611463126,0.7651043538373838,10
heterogeneous,fast25,DFedSAM,28,0.7637470341927599,0.02152044491714683,0.006805362219837757,0.7504085242418779,0.777085544143642,10
heterogeneous,fast25,DFedSAM,29,0.7704219412122582,0.02022236149240878,0.0063948721983293575,0.7578879917035326,0.7829558907209837,10
heterogeneous,fast25,DFedSAM,30,0.7744551042888718,0.019041943569161286,0.006021591275494567,0.7626527853889025,0.7862574231888411,10
heterogeneous,fast25,DFedSAM,31,0.7792797543628283,0.02016951489695572,0.00637816063750764,0.7667785595133133,0.7917809492123432,10
heterogeneous,fast25,DFedSAM,32,0.7757879796796665,0.01666444388222908,0.0052697598607902634,0.7654592503525176,0.7861167090068154,10
heterogeneous,fast25,DFedSAM,33,0.783676896878555,0.013930815425693719,0.00440531064086003,0.7750424880224693,0.7923113057346407,10
heterogeneous,fast25,DFedSAM,34,0.7870048452380571,0.01196010484510489,0.0037821172364946786,0.7795918954545276,0.7944177950215867,10
heterogeneous,fast25,DFedSAM,35,0.7946930027957839,0.01770774481771609,0.005599680584902598,0.7837176288493748,0.805668376742193,10
heterogeneous,fast25,DFedSAM,36,0.7912909929613167,0.023230103984281512,0.0073460038872881885,0.7768928253422318,0.8056891605804015,10
heterogeneous,fast25,DFedSAM,37,0.7931092538520965,0.018971014918524987,0.005999161666757261,0.7813508969852523,0.8048676107189408,10
heterogeneous,fast25,DFedSAM,38,0.807475453134755,0.020582138546437433,0.006508643692388957,0.7947185114976726,0.8202323947718374,10
heterogeneous,fast25,DFedSAM,39,0.8110780624390854,0.022759048135558603,0.007197042948577377,0.7969718582598737,0.8251842666182971,10
heterogeneous,fast25,DFedSAM,40,0.8126178985053519,0.017843080633582233,0.005642477527616014,0.8015586425512246,0.8236771544594793,10
heterogeneous,fast25,DFedSAM,41,0.8133224457175403,0.021905753781591458,0.006927207581267566,0.7997451188582558,0.8268997725768248,10
heterogeneous,fast25,DFedSAM,42,0.801629132638347,0.02424200104251162,0.007665993833451305,0.7866037847247824,0.8166544805519116,10
