block,label,method,round,n,f1_mean,f1_std,f1_var,f1_sem,ci_low,ci_high,bytes_cum_mean,ref_bytes,comm_norm
heterogeneous,fast50,DFedSAM,72,10,0.8611554705480525,0.02313925037131672,0.000535424907746481,0.007317273452225773,0.84681361458169,0.875497326514415,42135600.0,42135600.0,1.0
heterogeneous,fast50,DFedSAM,73,10,0.8684769047192603,0.02051065105056257,0.00042068680651794344,0.006486037361270311,0.8557642714911705,0.8811895379473501,43290000.0,43290000.0,1.0
heterogeneous,fast50,DFedSAM,74,10,0.8676409621375256,0.02941319422013365,0.0008651359942313036,0.009301268699652233,0.8494104754862073,0.8858714487888439,44460000.0,44460000.0,1.0
heterogeneous,fast50,DFedSAM,75,10,0.87442683956796,0.02181036182532508,0.0004756918829515975,0.006897041996041473,0.8609086372557186,0.8879450418802013,45645600.0,45645600.0,1.0
heterogeneous,fast50,DFedSAM,76,10,0.8736160307143466,0.021003167428789837,0.0004411330420417783,0.006641784715283824,0.8605981326723903,0.8866339287563029,46846800.0,46846800.0,1.0
heterogeneous,fast50,DFedSAM,77,10,0.8665913748630503,0.024794080768111095,0.0006147464411356164,0.007840576771740815,0.8512238443904383,0.8819589053356622,48063600.0,48063600.0,1.0
heterogeneous,fast50,DFedSAM,78,10,0.8721013796482919,0.01814155628834915,0.0003291160645633406,0.00573686381713337,0.8608571265667105,0.8833456327298733,49296000.0,49296000.0,1.0
heterogeneous,fast50,DFedSAM,79,10,0.8806140766339002,0.019478020570379017,0.0003793932853401081,0.006159490931400971,0.8685414744083544,0.8926866788594461,50544000.0,50544000.0,1.0
heterogeneous,fast50,DFedSAM,80,10,0.86836365255723,0.031016314518532772,0.0009620117663125469,0.009808219850271234,0.8491395416506984,0.8875877634637617,51807600.0,51807600.0,1.0
heterogeneous,fast50,DFedSAM,81,10,0.8798703901728542,0.017365397867946365,0.0003015570431120762,0.0054914209737742395,0.8691072050642566,0.8906335752814517,53086800.0,53086800.0,1.0
heterogeneous,fast50,DFedSAM,82,10,0.8686864700099022,0.02205011955221188,0.00048620777226683664,0.0069728600464001615,0.8550196643189578,0.8823532757008465,54381600.0,54381600.0,1.0
heterogeneous,fast50,DFedSAM,83,10,0.8793566716690483,0.023615649836694317,0.0005576989172093604,0.007467924190893747,0.8647195402548965,0.8939938030832001,55692000.0,55692000.0,1.0
heterogeneous,fast50,DFedSAM,84,10,0.884100513845333,0.027525637280394984,0.0007576607076918701,0.008704370785369096,0.8670399471060095,0.9011610805846564,57018000.0,57018000.0,1.0
heterogeneous,fast50,DFedSAM,85,10,0.8867571840659705,0.021441976679656256,0.0004597583639309227,0.0067805483843928335,0.8734673092325606,0.9000470588993804,58359600.0,58359600.0,1.0
heterogeneous,fast50,DFedSAM,86,10,0.876677628278747,0.018625928070957188,0.00034692519650447094,0.005890035623869103,0.8651331584559635,0.8882220981015304,59716800.0,59716800.0,1.0
heterogeneous,fast50,DFedSAM,87,10,0.8834488733504875,0.019113767212819637,0.00036533609706585894,0.006044303905875836,0.8716020376949709,0.8952957090060041,61089600.0,61089600.0,1.0
heterogeneous,fast50,DFedSAM,88,10,0.8856579655141485,0.027237528195095978,0.0007418829421786484,0.008613262692955837,0.8687759706359551,0.902539960392342,62478000.0,62478000.0,1.0
heterogeneous,fast50,DFedSAM,89,10,0.8807467893181131,0.014719761288513603,0.00021667137239082365,0.004654797228567788,0.8716233867501203,0.8898701918861059,63882000.0,63882000.0,1.0
heterogeneous,fast50,DFedSAM,90,10,0.8864041057910503,0.01954633993202793,0.00038205940473838964,0.006181095410510904,0.874289158786449,0.8985190527956517,65301600.0,65301600.0,1.0
heterogeneous,fast50,DFedSAM,91,10,0.8729528583402795,0.025460482199497828,0.0006482361538309458,0.008051311407658666,0.8571722879812684,0.8887334286992905,66736800.0,66736800.0,1.0
heterogeneous,fast50,DFedSAM,92,10,0.8799101953994152,0.029090188111757034,0.0008462390443774102,0.009199125199590503,0.8618799100082178,0.8979404807906125,68187600.0,68187600.0,1.0
heterogeneous,fast50,DFedSAM,93,10,0.8840678207605326,0.017343026569127035,0.00030078057057744624,0.005484346547925707,0.8733185015265982,0.894817139994467,69654000.0,69654000.0,1.0
heterogeneous,fast50,DFedSAM,94,10,0.891697123790131,0.02815316262298579,0.0007926005656762841,0.008902811722575538,0.874247612813883,0.909146634766379,71136000.0,71136000.0,1.0
heterogeneous,fast50,DFedSAM,95,10,0.8976548510891516,0.014792452759474587,0.0002188166586412873,0.004677784290038258,0.8884863938806765,0.9068233082976266,72633600.0,72633600.0,1.0
heterogeneous,fast50,DFedSAM,96,10,0.8819269862470899,0.0233994703416507,0.0005475352122697906,0.007399562232117456,0.8674238442721397,0.89643012822204,74146800.0,74146800.0,1.0
heterogeneous,fast50,DFedSAM,97,10,0.875747015119169,0.028531143005775913,0.0008140261212160358,0.009022339614623447,0.858063229474507,0.893430800763831,75675600.0,75675600.0,1.0
heterogeneous,fast50,DFedSAM,98,10,0.8833652604123527,0.03062119883778496,0.0009376578182631631,0.009683273301230132,0.8643860447419417,0.9023444760827638,77220000.0,77220000.0,1.0
