block,label,method,round,n,f1_mean,f1_std,f1_var,f1_sem,ci_low,ci_high,bytes_cum_mean,ref_bytes,comm_norm
heterogeneous,fast25,ASILO,15,8,0.3641875389424186,0.02178643015901691,0.0004746485390737216,0.007702666251643985,0.3490903130891964,0.3792847647956408,629464.625,2121600.0,0.2966933564291101
heterogeneous,fast25,ASILO,16,8,0.3626258413130465,0.01636863574011679,0.00026793223599262873,0.005787186665304532,0.3512829554490496,0.3739687271770434,707204.125,2386800.0,0.296298024551701
heterogeneous,fast25,ASILO,17,8,0.3673151352092896,0.0155412053676179,0.00024152906427847543,0.005494645851627694,0.3565456293400993,0.3780846410784799,790111.5,2667600.0,0.296188146648673
heterogeneous,fast25,ASILO,18,8,0.3652893970640064,0.01631026202577882,0.0002660246473495626,0.005766548440678819,0.3539869621202759,0.37659183200773694,876613.5,2964000.0,0.2957535425101215
heterogeneous,fast25,ASILO,19,8,0.3632953604976406,0.017130551603491428,0.00029345579823988275,0.0060565646021474365,0.35142449387743163,0.3751662271178496,967383.625,3276000.0,0.29529414682539684
heterogeneous,fast25,ASILO,20,8,0.3624702518608003,0.011860866746825334,0.00014068015998594698,0.004193449653715109,0.3542510905395187,0.3706894131820819,1061971.625,3603600.0,0.29469742063492066
heterogeneous,fast25,ASILO,21,8,0.3663076266166029,0.01617011977757091,0.0002614727736209899,0.005717000673659549,0.35510230529623016,0.3775129479369756,1160827.125,3946800.0,0.2941185580723624
heterogeneous,fast25,ASILO,22,8,0.36633481720716765,0.016997759317278992,0.0002889238218081448,0.006009615439112398,0.35455597094650737,0.37811366346782793,1263502.625,4305600.0,0.29345564497398735
heterogeneous,fast25,ASILO,23,8,0.36459597559262347,0.018473199714377164,0.00034125910768726455,0.006531262394124743,0.35179470130013896,0.377397249885108,1370448.0,4680000.0,0.29283076923076923
heterogeneous,fast25,ASILO,24,8,0.3701142164152504,0.023968959895449223,0.0005745110384696532,0.008474307040030273,0.3535045746167911,0.3867238582137097,1482110.625,5070000.0,0.29232951183431954
heterogeneous,fast25,ASILO,25,8,0.3633029412810974,0.024905638738550114,0.0006202908409751681,0.008805473020905579,0.3460442141601225,0.38056166840207234,1597142.625,5475600.0,0.2916835826210826
heterogeneous,fast25,ASILO,26,8,0.36514034303962317,0.014642181489597639,0.00021439347877431574,0.005176792911329317,0.3549938289334177,0.37528685714582866,1715550.0,5896800.0,0.2909289784289784
heterogeneous,fast25,ASILO,27,8,0.36997390635753336,0.015786190699653427,0.00024920381680582435,0.005581261246414474,0.359034634314561,0.3809131784005057,1838225.75,6333600.0,0.290233950675761
heterogeneous,fast25,ASILO,28,8,0.3686457668465418,0.013127169349060325,0.00017232257511890888,0.004641155232252376,0.35954910259132716,0.3777424311017565,1963820.0,6786000.0,0.28939286766872974
heterogeneous,fast25,ASILO,29,8,0.374289586217711,0.013819674778561717,0.00019098341098521487,0.0048859928748568445,0.3647130401829916,0.38386613225243044,2093458.5,7254000.0,0.2885936724565757
heterogeneous,fast25,ASILO,30,8,0.36867721696437655,0.014116492328939648,0.0001992753556730119,0.004990933726180552,0.3588949868610627,0.3784594470676904,2226018.625,7737600.0,0.28768851129549217
heterogeneous,fast25,ASILO,31,8,0.3680140302710385,0.007219852705601902,5.2126273090587106e-05,0.0025526034036495735,0.36301092759988535,0.3730171329421917,2362848.125,8236800.0,0.2868648170405983
heterogeneous,fast25,ASILO,32,8,0.3680683146920885,0.00875412945293366,7.663478247872058e-05,0.003095052149777136,0.3620020124785253,0.3741346169056517,2503271.25,8751600.0,0.28603583916083913
heterogeneous,fast25,ASILO,33,8,0.3661529785417176,0.010282033300711153,0.0001057202087969331,0.003635247735659378,0.3590278929798252,0.37327806410361,2647516.125,9282000.0,0.2852312136393019
heterogeneous,fast25,ASILO,34,8,0.37227684768472263,0.012369926435447669,0.00015301508001838707,0.004373429432641892,0.36370492599674453,0.38084876937270074,2796933.75,9828000.0,0.28458829365079363
heterogeneous,fast25,ASILO,35,8,0.3699366532117899,0.009011279732775539,8.120316242233119e-05,0.0031859685031072416,0.36369215494569973,0.3761811514778801,2950843.625,10389600.0,0.2840189829252329
heterogeneous,fast25,ASILO,36,8,0.37051526905692533,0.009211371852282962,8.484937140103085e-05,0.003256711750390086,0.36413211402616075,0.3768984240876899,3108125.625,10966800.0,0.2834122647445016
heterogeneous,fast25,ASILO,37,8,0.3706142255435439,0.013782619847729384,0.00018996060986702396,0.004872891978422874,0.36106335726583505,0.38016509382125274,3269904.875,11559600.0,0.28287353152358213
heterogeneous,fast25,ASILO,38,8,0.37149953450852713,0.01285106002080777,0.0001651497436584038,0.004543535843074254,0.3625942042561016,0.38040486476095264,3435056.5,12168000.0,0.2823024737015122
heterogeneous,fast25,ASILO,39,8,0.37246103573321654,0.012708539739774635,0.00016150698231743115,0.004493147314486683,0.36365446699682263,0.38126760446961044,3604929.75,12792000.0,0.2818112687617261
heterogeneous,fast25,ASILO,40,8,0.3709308328841068,0.013231978038701018,0.00017508524281666603,0.004678210699838481,0.3617615399124234,0.38010012585579017,3777728.25,13431600.0,0.2812567564549272
heterogeneous,fast25,ASILO,41,8,0.36890684438233623,0.009850260121394555,9.702762445913588e-05,0.003482592864144757,0.3620809623686125,0.37573272639606,3954350.875,14086800.0,0.2807132120140841
heterogeneous,fast25,ASILO,42,8,0.3701763584895159,0.009364124521420665,8.76868280526718e-05,0.003310717974485893,0.36368735125952356,0.37666536571950826,4136147.125,14757600.0,0.2802723427251044
heterogeneous,fast25,ASILO,43,8,0.3735644667748138,0.01146180197958181,0.0001313729046191455,0.004052358952189846,0.3656218432285217,0.3815070903211059,4322891.375,15444000.0,0.27990749643874646
heterogeneous,fast25,ASILO,44,8,0.37352773491513347,0.011476069351267115,0.0001317001677550924,0.004057403229824039,0.36557522458467834,0.3814802452455886,4513912.0,16146000.0,0.2795684380032206
