t,agent,neighbor,tau,score,contacts,reputation,self_p
24,S3,S17,0.9154277153100251,1.0505957473935632,12,0.0,0.11155720395517674
24,S3,S7,0.9297521607902977,1.0616949292542903,13,0.0,0.11155720395517674
24,S13,S8,0.8911090557802088,1.1134546268853356,1,0.5,0.07071186911364323
24,S5,S15,0.9496447922127011,1.0883427380553181,11,0.0,0.0737841918576305
24,S8,S11,0.8911090557802088,1.1134546268853356,1,0.0,0.16389000074507978
24,S8,S14,0.9009652376825508,1.0272063762242964,15,0.0,0.16389000074507978
24,S8,S6,0.9619977145058192,1.0939404829698118,13,0.0,0.16389000074507978
24,S10,S13,0.9314503682117239,1.0666184002952621,12,0.0,0.10716733734626421
24,S2,S7,0.8911090557802088,1.1134546268853356,1,0.0,0.22277526113974755
24,S2,S3,0.9262520373221838,1.0614200694057219,12,0.5,0.22277526113974755
24,S7,S2,0.8911090557802088,1.1134546268853356,1,0.0,0.1484029567295236
24,S14,S16,0.9733314350140393,1.1023102407669174,14,0.0,0.06947782241554704
24,S16,S4,0.8911090557802088,1.1134546268853356,1,0.0,0.17630594601073554
24,S16,S17,0.8911090557802088,1.1134546268853356,1,0.0,0.17630594601073554
24,S16,S9,0.9345764533210551,1.0665192217850477,13,0.0,0.17630594601073554
24,S16,S5,0.9279820327135101,1.0569608384663882,14,0.0,0.17630594601073554
24,S15,S14,0.8911090557802088,1.1134546268853356,1,1.0,0.19086861873037303
24,S15,S11,0.9950025698367355,1.1212437083784812,15,0.0,0.19086861873037303
24,S15,S2,0.9000874278732445,1.0352554599567827,12,1.0,0.19086861873037303
24,S17,S5,0.8911090557802088,1.1134546268853356,1,1.0,0.08641565743111036
24,S17,S3,0.8911090557802088,1.1134546268853356,1,1.0,0.08641565743111036
25,S2,S7,0.8866535105013078,1.1089990816064346,1,0.0,0.17914936310452909
25,S2,S3,0.9216207771355728,1.056788809219111,12,0.5,0.17914936310452909
25,S10,S13,0.9267931163706653,1.058735884834658,13,0.0,0.090119720461176
25,S8,S11,0.8866535105013078,1.1089990816064346,1,0.0,0.30514133325052706
25,S8,S14,0.896460411494138,1.0227015500358836,15,0.0,0.30514133325052706
25,S8,S6,0.95718772593329,1.0891304943972826,13,0.0,0.30514133325052706
25,S9,S10,0.8866535105013078,1.0128946490430535,15,0.0,0.030876124547295037
25,S9,S8,0.895625189174048,1.024603994926926,14,0.0,0.030876124547295037
25,S7,S2,0.8866535105013078,1.1089990816064346,1,0.0,0.15111881289833323
25,S6,S16,0.8866535105013078,1.1089990816064346,1,1.0,0.32962994146144114
25,S6,S9,0.8866535105013078,1.1089990816064346,1,0.0,0.32962994146144114
25,S3,S15,0.8866535105013078,1.1089990816064346,1,1.0,0.0892457631641414
25,S3,S17,0.9108505767334749,1.0460186088170131,12,0.0,0.0892457631641414
25,S3,S7,0.9251033999863462,1.0570461684503387,13,0.0,0.0892457631641414
25,S14,S16,0.9684647778389691,1.0974435835918472,14,0.0,0.05558225793243763
25,S13,S8,0.8866535105013078,1.1089990816064346,1,0.5,0.10615770320632509
25,S5,S15,0.9448965682516376,1.0800646003351757,12,0.0,0.06418384209829238
25,S16,S4,0.8866535105013078,1.1089990816064346,1,0.0,0.14104475680858844
25,S16,S17,0.8866535105013078,1.1089990816064346,1,0.0,0.14104475680858844
25,S16,S9,0.9299035710544499,1.0618463395184425,13,0.0,0.14104475680858844
25,S16,S5,0.9243591609914373,1.050600299533183,15,0.0,0.14104475680858844
25,S11,S4,0.8968614247471677,1.0288041932111605,13,0.0,0.0407919333025612
25,S15,S14,0.8866535105013078,1.1089990816064346,1,1.0,0.28349033789670874
25,S15,S11,0.9900275569875518,1.1137286811944018,16,0.5,0.28349033789670874
25,S15,S2,0.8955869907338783,1.0307550228174165,12,1.0,0.28349033789670874
25,S17,S5,0.8866535105013078,1.1089990816064346,1,1.0,0.06913252594488829
25,S17,S3,0.8866535105013078,1.1089990816064346,1,1.0,0.06913252594488829
26,S7,S2,0.8822202429488013,1.104565814053928,1,0.0,0.1208950503186666
26,S7,S3,1.0,1.2223455711051268,1,0.5,0.1208950503186666
26,S10,S13,0.9221591507888119,1.0541019192528047,13,0.0,0.07209577636894081
26,S13,S8,0.8822202429488013,1.104565814053928,1,0.5,0.08492616256506008
26,S5,S15,0.9401720854103794,1.0753401174939177,12,0.0,0.051347073678633906
26,S5,S16,1.0,1.2223455711051268,1,0.5,0.051347073678633906
26,S4,S11,1.0,1.2223455711051268,1,0.0,0.04104273909003351
26,S6,S16,0.8822202429488013,1.104565814053928,1,1.0,0.4637039531691529
26,S6,S9,0.8822202429488013,1.104565814053928,1,0.0,0.4637039531691529
26,S6,S8,1.0,1.2223455711051268,1,0.0,0.4637039531691529
