block,label,method,round,n,f1_mean,f1_std,f1_var,f1_sem,ci_low,ci_high,bytes_cum_mean,ref_bytes,comm_norm
heterogeneous,fast25,FedAvg,35,10,0.8931159759004738,0.009312096967472056,8.671514993160226e-05,0.0029447436209558593,0.8873442784034002,0.8988876733975473,10389600.0,10389600.0,1.0
heterogeneous,fast25,FedAvg,36,10,0.8919115560033302,0.013978744435351888,0.00019540529598888136,0.004420467124511632,0.8832474404392874,0.900575671567373,10966800.0,10966800.0,1.0
heterogeneous,fast25,FedAvg,37,10,0.8944499031901494,0.012929822757271637,0.00016718031653445951,0.0040887689655256815,0.8864359160177191,0.9024638903625797,11559600.0,11559600.0,1.0
heterogeneous,fast25,FedAvg,38,10,0.8872752081840259,0.011792228765867305,0.00013905665926654834,0.0037290301589897115,0.8799663090724061,0.8945841072956457,12168000.0,12168000.0,1.0
heterogeneous,fast25,FedAvg,39,10,0.889398420261671,0.015017203698744836,0.00022551640692959558,0.004748856777473875,0.8800906609778223,0.8987061795455198,12792000.0,12792000.0,1.0
heterogeneous,fast25,FedAvg,40,10,0.8900777254688788,0.012627374652358839,0.0001594505906110345,0.003993126476973081,0.8822511975740115,0.897904253363746,13431600.0,13431600.0,1.0
heterogeneous,fast25,FedAvg,41,10,0.891090956321522,0.012325744508200743,0.00015192397768144079,0.0038977426503226296,0.8834513807268897,0.8987305319161544,14086800.0,14086800.0,1.0
heterogeneous,fast25,FedAvg,42,10,0.88997696821591,0.014278100648353139,0.00020386415812450231,0.004515131870992278,0.8811273097487651,0.8988266266830549,14757600.0,14757600.0,1.0
heterogeneous,fast25,FedAvg,43,10,0.8928407924773465,0.01357057971192809,0.0001841606337177943,0.004291394105856444,0.8844296600298679,0.9012519249248251,15444000.0,15444000.0,1.0
heterogeneous,fast25,FedAvg,44,10,0.8908724691153023,0.014455326581705976,0.00020895646658377538,0.004571175631976695,0.881912964876628,0.8998319733539766,16146000.0,16146000.0,1.0
heterogeneous,fast25,FedAvg,45,10,0.8869038062980209,0.01052725623980375,0.00011082312393848699,0.003329010722999957,0.880378945280941,0.8934286673151008,16863600.0,16863600.0,1.0
heterogeneous,fast25,FedAvg,46,10,0.8878327531889484,0.010141562548095649,0.0001028512909169363,0.003207043668504317,0.8815469475986799,0.8941185587792169,17596800.0,17596800.0,1.0
heterogeneous,fast25,FedAvg,47,10,0.8897114039786649,0.010165301967586382,0.00010333336409221557,0.0032145507320964087,0.8834108845437559,0.8960119234135738,18345600.0,18345600.0,1.0
heterogeneous,fast25,FedAvg,48,10,0.8905964478406567,0.016292922078228696,0.0002654593098472321,0.005152274350684677,0.8804979901133148,0.9006949055679987,19110000.0,19110000.0,1.0
heterogeneous,fast25,FedAvg,49,10,0.8912706631808694,0.012601071059115888,0.000158786991836888,0.003984808550443647,0.883460438422,0.899080887939739,19890000.0,19890000.0,1.0
heterogeneous,fast50,ASILO,0,10,0.8410085415033783,0.024562757135583254,0.0006033290381016461,0.007767425816199637,0.8257843869036271,0.8562326961031296,0.0,15600.0,0.0
heterogeneous,fast50,ASILO,1,10,0.8825607827721835,0.01634501202105583,0.0002671594179684596,0.005168746636936846,0.8724300393637873,0.8926915261805798,19599.1,46800.0,0.418784188034188
heterogeneous,fast50,ASILO,2,10,0.8847891348070973,0.015078388844000028,0.0002273578101308645,0.00476820521927134,0.8754434525773255,0.8941348170368691,53758.0,93600.0,0.5743376068376068
heterogeneous,fast50,ASILO,3,10,0.9008326613823788,0.013808325182681104,0.00019066984435066515,0.004366575824953291,0.8922741727654704,0.9093911499992873,103551.6,156000.0,0.6637923076923077
heterogeneous,fast50,ASILO,4,10,0.9076965392590756,0.017216060937102276,0.0002963927541900189,0.005444196489749602,0.8970259141391663,0.9183671643789848,164847.4,234000.0,0.7044760683760684
heterogeneous,fast50,ASILO,5,10,0.9026310403793139,0.011055609723370215,0.00012222650635547805,0.003496090764775395,0.8957787024803541,0.9094833782782736,238356.9,327600.0,0.7275851648351648
heterogeneous,fast50,ASILO,6,10,0.8982405855545229,0.013022071473578933,0.0001695743454629982,0.004117940571001458,0.8901694220353601,0.9063117490736857,323178.9,436800.0,0.7398784340659341
heterogeneous,fast50,ASILO,7,10,0.9016232846425523,0.013630070950512434,0.0001857788341160029,0.0043102068873315455,0.8931752791433825,0.9100712901417221,418593.3,561600.0,0.7453584401709401
heterogeneous,fast50,ASILO,8,10,0.888977981687191,0.01618875061763337,0.0002620756465599248,0.005119332442417905,0.8789440901000519,0.8990118732743301,524599.2,702000.0,0.7472923076923076
heterogeneous,fast50,ASILO,9,10,0.8923700312206533,0.01365173597948225,0.0001863698952534902,0.00431705797104336,0.8839085975974083,0.9008314648438983,642093.9,858000.0,0.7483611888111888
heterogeneous,fast50,ASILO,10,10,0.8901724492241916,0.022033874245251602,0.00048549161425556184,0.006967722829271855,0.8765157124788188,0.9038291859695644,771432.2,1029600.0,0.7492542735042734
heterogeneous,fast50,ASILO,11,10,0.8936193957263819,0.01425468086313088,0.00020319592650970973,0.004507725884630849,0.8847842529925055,0.9024545384602584,912255.3,1216800.0,0.7497167159763314
heterogeneous,fast50,ASILO,12,10,0.8927545414085966,0.009575131973905802,9.168315231771322e-05,0.0030279225934246273,0.8868198131254843,0.8986892696917088,1065463.4,1419600.0,0.7505377571146801
heterogeneous,fast50,ASILO,13,10,0.8976800018547022,0.008454810840153584,7.148382634277855e-05,0.0026736459440767123,0.8924396558043118,0.9029203479050926,1229801.5,1638000.0,0.7507945665445666
heterogeneous,fast50,ASILO,14,10,0.8875546876901081,0.01390011152375436,0.00019321310037280877,0.004395601214541746,0.8789393093096063,0.89617006607061,1404734.2,1872000.0,0.7503922008547008
heterogeneous,fast50,ASILO,15,10,0.8929367641711592,0.00954039980067093,9.101922835664192e-05,0.0030169393158736542,0.8870235631120468,0.8988499652302716,1590256.3,2121600.0,0.7495551941930618
heterogeneous,fast50,ASILO,16,10,0.8892053402489439,0.014964714392494445,0.0002239426768489304,0.00473225820141854,0.8799301141741636,0.8984805663237243,1786547.9,2386800.0,0.7485117730853025
heterogeneous,fast50,ASILO,17,10,0.8931384758124532,0.01375010765572428,0.00018906546054400745,0.004348165826460709,0.8846160707925902,0.9016608808323162,1993243.6,2667600.0,0.7472048283100915
heterogeneous,fast50,ASILO,18,10,0.8925714348062487,0.008837786594754881,7.810647189442908e-05,0.0027947535113928934,0.8870937179239186,0.8980491516885788,2210350.2,2964000.0,0.7457321862348179
heterogeneous,fast50,ASILO,19,10,0.8928193266875818,0.009975494808097852,9.95104966663872e-05,0.003154528438077349,0.8866364509489502,0.8990022024262134,2437334.9,3276000.0,0.7439972222222222
heterogeneous,fast50,ASILO,20,10,0.8925303341086293,0.009746973236957664,9.500348728196896e-05,0.0030822635721490296,0.8864890975072172,0.8985715707100413,2672938.2,3603600.0,0.7417410922410923
heterogeneous,fast50,ASILO,21,10,0.8928978934519007,0.0066801388763406706,4.4624255407197993e-05,0.00211244539354744,0.8887575004805478,0.8970382864232537,2918953.9,3946800.0,0.7395748201074288
heterogeneous,fast50,ASILO,22,10,0.8936381160724747,0.010124925642428307,0.00010251411926470226,0.003201782616991701,0.887362622143171,0.8999136100017784,3176102.7,4305600.0,0.7376678511705687
heterogeneous,fast50,ASILO,23,10,0.891675705600617,0.011414561568939698,0.00013029221581111508,0.003609601305007453,0.8846008870428025,0.8987505241584316,3442228.3,4680000.0,0.7355188675213675
heterogeneous,fast50,ASILO,24,10,0.8891497147236503,0.013081223732402492,0.0001711184143371702,0.004136646157664082,0.8810418882546287,0.897257541192672,3716792.6,5070000.0,0.7330951873767259
heterogeneous,fast50,ASILO,25,10,0.890319077830766,0.013960545277026544,0.00019489682443190814,0.004414712045331021,0.8816662422219173,0.8989719134396148,4000515.3,5475600.0,0.7306076594345825
heterogeneous,fast50,ASILO,26,10,0.8900136113785251,0.012515050791917299,0.0001566264963242698,0.0039576065535152655,0.8822567025336352,0.897770520223415,4292319.3,5896800.0,0.7279065425315425
heterogeneous,fast50,ASILO,27,10,0.889303859713262,0.011844687704964342,0.00014029662682813344,0.0037456191321079807,0.8819624462143303,0.8966452732121937,4592204.6,6333600.0,0.7250544082354426
heterogeneous,fast50,ASILO,28,10,0.8860879002818951,0.011869096149576494,0.00014087544340789156,0.0037533377600196273,0.8787313582722567,0.8934444422915335,4899991.7,6786000.0,0.722073636899499
heterogeneous,fast50,ASILO,29,10,0.8839062746209343,0.013931406804648933,0.0001940840955566186,0.004405497651305906,0.8752714992243747,0.8925410500174938,5217474.5,7254000.0,0.7192548249241798
